StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget,Unnamed: 9
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,จัดหาเครื่องกังหันน้ำเติมอากาศเพื่อบําบัดน้ำเสียในตําบลคลองสาม,55.0,"1) ลงพื้นที่ศึกษาข้อมูล
2) ประชาสัมพันธ์และลงพื้นที่ ทําความเข้าใจ
3) ทําการติดตั้งเครื่องกลเติมอากาศพลังงานแสงอาทิตย์
4) ติดตาม ประเมินผลหลังเสร็จสินโครงการ",กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,"1) การบําบัดน้ำเสียในพื้นที่มีปริมาณเพิ่มขึ้น
2) น้ำเสียมีปริมาณลดลง",อําเภอคลองหลวง,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,1008000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ติดตั้งเครื่องบําบัดน้ำเสียพลังงานแสงอาทิตย์,56.0,ก่อสร้าง ติดตั้งเครื่องบําบัดน้ำเสีย พลังงานแสงอาทิตย์,กลยุทธ์ที่ 2 ส่งเสริมอุตสาหกรรมสะอาด,สามารถจัดการน้ำเสียให้มีสภาพเป็นน้ำดี สามารถนํามาใช้ใหม่ได้อากาศบริสุทธ์ ปราศจากกลิ่นรบกวน,อําเภอลําลูกกา,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,5000000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,ส่งเสริมอุตสาหกรรมสีเขียว(),15.0,"1) ขออนุมัติโครงการ
2) ประชาสัมพันธ์และจัดสัมมนาเปิดตัวโครงการและให้ความรู้แก่ผู้ประกอบการ
3) จัดจ้างเหมาบริการให้บริการคําปรึกษาแนะนําแก่สถานประกอบการ
4) ให้บริการคําปรึกษาแนะนําแก่สถานประกอบการ
5) จัดสัมมนาปิดโครงการ และการถ่ายทอดความรู้ที่ได้รับคําปรึกษาแนะนําเชิงลึกจากการเข้าร่วมโครงการของสถานประกอบการ
6)เบิกจ่ายตามแผนงานโครงการ
7) สรุปและรายงานผลการดําเนินงานโครงการ",กลยุทธ์ที่ 2 ส่งเสริมอุตสาหกรรมสะอาด,"1) จํานวนสถานประกอบการได้รับการถ่ายทอดความรู้ ไม่น้อยกว่า 100 ราย/ปี
2) จํานวนสถานประกอบการโรงงานที่ได้รับคําปรึกษาแนะนํา มีการพัฒนาปรับปรุงกระบวนการผลิต/ผลิตภัณฑ์ ตามเนวทางอุตสาหกรรมสีเขียว/เทคโนโลยีสะอาด (Clean Technology) อุตสาหกรรมเชิงนิเวศ/ธรรมาภิบาลสิ่งแวดล้อมไม่น้อยกว่า 50 ราย/ปี",สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,4250000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,(1)โครงการรณรงค์คัดแยกขยะ,,ประชาสัมพันธ์คนในพื้นที่ให้มีการขัดแยกขยะตั้งแต่ต้นทาง,กลยุทธ์ที่ 3 ส่งเสริมการจัดการขยะอย่างเป็นระบบและมีประสิทธิภาพ,1) ปริมาณการคัดแยกขยะตั้งแต่ต้นทางเพิ่มมากขึ้น2) จํานวนครัวเรือนที่เข้าร่วมโครงการรณรงค์คัดแยกขยะ,องค์การบริหารส่วนตำบลบึงชำอ้อ,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,50000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,(2)คลองสวยน้ำใส,,ดําเนินการแก้ไขปัญหาน้ำเน่าเสีย,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,แก้ปัญหาน้ำในคลองเน่าเสียได้,องค์การบริหารส่วนตำบลบึงบอน,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,30000.0,
ประเด็นการพัฒนาที่ 1 : พัฒนาสภาพแวดล้อมเมืองให้น่าอยู่ เอื้อต่อการขยายตัวทางเศรษฐกิจและสังคม,(3)น้ำใสไร้มลพิษ,,ดําเนินการจัดการปัญหาตามแนวลําคลองสาธารณะในเขตตําบลหลักหก,กลยุทธ์ที่ 1 สร้างระบบและกลไกในการควบคุมเผ้าระวังคุณภาพสิ่งแวดล้อมแบบมีส่วนร่วมตั้งแต่ระดับชุมชน,สามารถแก้ปัญหาน้ำเน่าเสียในคูคลอง เขตเทศบาลตําบลหลักหก,เทศบาลตำบลหลักหก,3.3การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,20000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,พัฒนาระบบผลิตพืชแบบครบวงจร,16.0,"1. พัฒนาระบบการผลิตกล้วยน้ำว้าแบบครบวงจร ตามหลักปรัชญา ศก.พอเพียง
1.1 พัฒนาองค์ความรู้และส่งเสริมการผลิต
1.2 ส่งเสริมการรวมกลุ่ม (วัสดุแปรรูป)
1.3 ส่งเสริมการตลาด (สร้างโรงอบพลังงานแสงอาทิตย์โรงงานแปรรูปหลังคาเมทัลชีท)
2. ส่งเสริมการปลูกไม้ผลแบบปลอดภัยและเป็นมิตรต่อสิ่งแวดล้อม
2.1 พัฒนาองค์ความรู้และส่งเสริมการผลิตระบบ GAP เกษตรกรผู้ปลูกไม้ผล",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,7800000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,พัฒนามาตรฐานการผลิตสัตว์น้ำ,54.0,"1.อบรมหลักสูตร การจัดการฟาร์มเพาะเลี้ยงสัตว์น้ำ หัวข้อมาตรฐานการปฏิบัติทางการประมงที่ดีสําหรับฟาร์มเพาะเลี้ยงสัตว์น้ำ ระบบการรับรองมาตรฐานคุณภาพการผลิตสัตว์น้ำ การพัฒนาฟาร์มเพาะเลี้ยงสัตว์น้ำเข้าสู่มาตรฐานและการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการผลิตสินค้าสัตว์น้ำ จํานวน 5 ครั้ง 200 คน 
2.สนับสนุนปัจจัยการผลิตบางส่วนให้แก่เกษตรกรผู้เข้าร่วมโครงการ (พันธุ์สัตว์น้ำอาหารสัตว์น้ำ จุลินทรีย์น้ำ) 200 ราย
3. ส่งเสริมและพัฒนาด้านการผลิตสินค้าสัตว์น้ำปลอดภัยโดยการใช้เชื้อจุลินทรีย์/น้ำหมักชีวภาพในระบบการเพาะเลี้ยงเพื่อการผลิตสินค้าสัตว์น้ำ
4. ตรวจสอบและรับรองคุณภาพสินค้าประมง (ตรวจประเมินฟาร์มและตรวจวิเคราะห์ตัวอย่างเนื้อปลา ) - ตรวจประเมินฟาร์ม จํานวน 200 ฟาร์มและต้องได้รับใบรับรองมาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ไม่น้อยกว่าร้อยละ 15
5. การบริหารโครงการ : ประสานอํานวยการ ติดตามให้คําแนะนํา แก้ไขปัญหา อุปสรรค ที่อาจจะเกิดขึ้น และประเมินผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ร้อยละเกษตรกรที่เข้าร่วมโครงการ ผ่านการเตรียมความพร้อมเข้าสู่มาตรฐานฟาร์มระดับมาตรฐานความปลอดภัยในระดับ GAP ได้ไม่น้อยกว่าร้อยละ 15 (ปีฐาน 59จํานวน 156 ราย)
2) ร้อยละเกษตรกรที่เข้าร่วมโครงการส่วนที่เหลือผ่านเกณฑ์มาตรฐานการเตรียมความพร้อมเพื่อพัฒนาเข้าสู่ระดับ GAP ได้ไม่น้อยร้อยละ 90 (ปีฐาน59 จํานวน 248 ราย)",สำนักงานประมงจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,5500000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,การผลิตข้าวโภชนาการสูงแบบครบวงจรเพื่อเพิ่มมูลค่า,2.0,"1) ศึกษาและรวมรวมข้อมูลพันธุ์ข้าวสี(โภชนาการสูง) ได้แก่ ลักษณะประจําพันธุ์การใช้ปุ๋ย การควบคุมโรคและแมลง และข้อมูลค่าโภชนาการ ที่จะนํามาปลูกทั้ง 3 พันธุ์ คือพันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่
2) ปลูกศึกษา จํานวน 3 พันธุ์ได้แก่ พันธุ์ทับทิมชุมแพ หอมมะลิดําหนองคาย และข้าวไรซ์เบอร์รี่ โดยปลูกพันธุ์ละ 5 ไร่บันทึกข้อมูล การเจริญเติบโตผลผลิต และคุณค่าทางโภชนาการ
3) ผลิตเมล็ดพันธุ์ข้าวสี (โภชนาการสูง) คุณภาพดี เพื่อกระจายให้กลุ่มที่เข้าร่วมโครงการ พันธุ์ละ 3 ตัน",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1) ชาวนาสามารถผลิตข้าวสี (โภชนาการสูง) ได้คุณภาพ ผ่านมาตรฐานGAP
2) ได้กลุ่มผู้ผลิตข้าวสี(โภชนาการสูง) จํานวน 2กลุ่ม",สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ศูนย์วิจัยข้าว,ด้านการสร้างความสามารถในการแข่งขัน,4040000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,การเพิ่มประสิทธิภาพการปรับปรุงเมล็ดพันธุ์ข้าว,36.0,"1. สํารวจเกษตรกร สมาชิกสหกรณ์ที่ผลิตเมล็ดพันธุ์
2. ประสานงาน หน่วยงานที่เกี่ยวข้องให้ความรู้ในการดําเนินงาน
3. ดําเนินการจัดหาเครื่องคัดแยกเมล็ดพันธุ์ เครื่องอบ อุปกรณ์คัดสิ่งเจือปน โกดัง/โรงคลุม พร้อมอุปกรณ์ในการก่อตั้ง
4.ประสานหน่วยงานที่เกี่ยวข้องในการรับรองมาตรฐานเมล็ดพันธุ์
5. ส่งเสริมและพัฒนาการสร้างเครือข่ายเชื่อมโยงการผลิต/การตลาด
6. ติดตามการดําเนินงานและสรุปผลโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,"1.ร้อยละของต้นทุนการผลิตของเกษตรกรที่เข้าร่วมโครงการลดลงไม่น้อยกว่าร้อยละ 10
2. จํานวนยอดขายเมล็ดพันธุ์ที่ผ่านและได้รับการรับรองมาตรฐานเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10 ของยอดขายเดิม",สำนักงานสหกรณ์จังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,10000000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,ส่งเสริมการผลิตสินค้าเกษตรแบบฟาร์มอัจฉริยะ,10.0,"1. การพัฒนาฐานข้อมูลเชิงพื้นที่และข้อมูลเปิดเพื่อสนับสนุนการเพาะปลูกกล้วยหอมทองในประเทศไทย
2. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
3. การพัฒนาระบบเก็บและวิเคราะห์ผลข้อมูลสภาวะแวดล้อมเพื่อการเกษตรขนาดใหญ่
4. ระบบสารสนเทศภูมิศาสตร์และโปรแกรมบนโทรศัพท์สมาร์ทโฟนเพื่อสนับสนุนการเกษตรอัจฉริยะ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละของจํานวนแปลงฟาร์มที่ผ่านการประเมินความพร้อมเบื้องต้นของจํานวนแปลงฟาร์มที่สมัคร(PGAP) ร้อยละ 100,สำนักงานเกษตรและสหกรณ์จังหวัดปทุมธานี/ม.ธรรมศาสตร์ศูนย์รังสิต,ด้านการสร้างความสามารถในการแข่งขัน,9200000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,การแก้ภัยแล้งของเกษตรกรโดยใช้เทคโนโลยีพลังงานทดแทน(ระบบสูบน้ำพลังงานแสงอาทิตย์),45.0,"1. ประชาสัมพันธ์เชิญชวน กลุ่มเป้าหมายได้แก่ ผู้นําชุมชนและเกษตรกร เพื่อเข้าร่วมโครงการ
2. จัดอบรมสัมมนาให้ความรู้ อําเภอละ 1 ครั้งๆ ละ 35 ราย
3. มอบเครื่องสูบน้ำพลังงานแสงอาทิตย์พร้อมติดตั้งอุปกรณ์ กับ อปท. ทั้ง 7 พื้นที่
4. ติดตามประเมินผลหลังเสร็จสิ้นโครงการ",กลยุทธ์ที่ 1 ส่งเสริมบริโภคปลอดภัย,ร้อยละการลดลงของพลังงานที่กลุ่มเกษตร อปท.และประชาชนที่เข้าร่วมโครงการใช้พลังงานทดแทนลดค่าใช้จ่ายการใช้น้ำมัน,สำนักงานพัฒนาพลังงานจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,9800000.0,
ประเด็นการพัฒนาที่ 2 : ยกระดับการผลิตอาหาร สินค้าเกษตร อุตสาหกรรม ให้มีคุณภาพและได้มาตรฐาน สู่ตลาดโลก,พัฒนาบรรจุภัณฑ์ผลิตภัณฑ์และผลิตภัณฑ์ทางการเกษตร,11.0,"1. จัดอบรมผู้ประกอบการ OTOP และสินค้าเกษตร
2. จ้างเหมาพัฒนาบรรจุภัณฑ์ ผลิตภัณฑ์ OTOP และผลิตภัณฑ์ทางการเกษตร",กลยุทธ์ที่ 2 เพิ่มขีดความสามารถเชิงธุรกิจของผู้ประกอบการและสถาบันเกษตกร,1) ผลิตภัณฑ์ที่ได้รับการออกแบบบรรจุภัณฑ์จํานวน 10 ผลิตภัณฑ์,สำนักงานพัฒนาชุมชนจังหวัดปทุมธานี,ด้านการสร้างความสามารถในการแข่งขัน,1600000.0,
